,Unnamed: 0,Title,Production company,Cast and crew,Rank,Genre,Tickets Sold,Release Year Gross,ReleaseYear
17,17,Project Almanac,Paramount Pictures,"Dean Israelite (director); Jason Harry Pagan, Andrew Deutschman (screenplay); Jonny Weston, Sofia Black-D'Elia, Sam Lerner, Allen Evangelista, Virginia Gardner, Amy Landecker",101,Adventure,2651036.0,22348241.0,2015
18,18,Wild Card,Lions Gate Entertainment,"Simon West (director); William Goldman (screenplay); Jason Statham, Michael Angarano, Milo Ventimiglia, Dominik Garcia-Lorido, Anne Heche, Sofia Vergara, Max Casella, Jason Alexander, Hope Davis, Stanley Tucci",749,Action,379.0,3200.0,2015
19,19,3 Nights in the Desert,Monterey Media,"Gabriel Cowan (director); Adam Chanzit (screenplay); Amber Tamblyn, Wes Bentley, Vincent Piazza.",785,Drama,153.0,1297.0,2015
20,20,Jupiter Ascending,Warner Bros. Pictures,"The Wachowskis (director/screenplay); Channing Tatum, Mila Kunis, Sean Bean, Eddie Redmayne, Douglas Booth",58,Action,5632564.0,47482519.0,2015
21,21,"Love, Rosie",Lionsgate,"Christian Ditter (director); Juliette Towhidi (screenplay); Lily Collins, Sam Claflin, Christian Cooke, Tamsin Egerton, Suki Waterhouse, Jamie Beamish, Jaime Winstone",579,Romantic Comedy,2423.0,20431.0,2015
22,22,Seventh Son,Universal Pictures,"Sergei Bodrov (director); Charles Leavitt, Steven Knight (screenplay); Jeff Bridges, Ben Barnes, Alicia Vikander, Kit Harington, Olivia Williams, Antje Traue, Djimon Hounsou, Julianne Moore",113,Adventure,2102703.0,17725785.0,2015
23,23,The Voices,Lions Gate Entertainment,"Marjane Satrapi (director); Michael R. Perry (screenplay); Ryan Reynolds, Gemma Arterton, Anna Kendrick, Jacki Weaver",715,Comedy,593.0,5000.0,2015
24,24,Fifty Shades of Grey,Universal Pictures,"Sam Taylor-Johnson (director); Kelly Marcel (screenplay); Dakota Johnson, Jamie Dornan, Jennifer Ehle, Marcia Gay Harden",17,Drama,19711415.0,166167230.0,2015
25,25,Kingsman: The Secret Service,20th Century Fox,"Matthew Vaughn (director/screenplay); Jane Goldman (screenplay); Colin Firth, Samuel L. Jackson, Mark Strong, Taron Egerton, Michael Caine",23,Action,15214914.0,128261724.0,2015
26,26,The Last Five Years,The Weinstein Company,"Richard LaGravenese (director/screenplay); Anna Kendrick, Jeremy Jordan",411,Musical,17473.0,147299.0,2015
27,27,The DUFF,Lions Gate Entertainment,"Ari Sandel (director); Josh A. Cagan (screenplay); Mae Whitman, Robbie Amell, Bella Thorne, Bianca Santos, Skyler Samuels, Romany Malco, Ken Jeong, Allison Janney",76,Comedy,4036814.0,34030343.0,2015
28,28,Hot Tub Time Machine 2,Paramount Pictures,"Steve Pink (director); Josh Heald (screenplay); Rob Corddry, Craig Robinson, Clark Duke, Adam Scott, Chevy Chase",126,Comedy,1460812.0,12314651.0,2015
29,29,"McFarland, USA",Walt Disney Pictures,"Niki Caro (director); Christopher Cleveland, Bettina Gilois, Grant Thompson (screenplay); Kevin Costner, Maria Bello, Morgan Saylor",62,Drama,5276426.0,44480275.0,2015
30,30,Everly,Dimension Films,Joe Lynch (director); Yale Hannon (screenplay); Salma Hayek,770,Action,213.0,1800.0,2015
31,31,Focus,Warner Bros.,"Glenn Ficarra, John Requa (director/screenplay); Will Smith, Margot Robbie",52,Comedy,6389438.0,53862963.0,2015
32,32,The Lazarus Effect,Relativity Media,"David Gelb (director); Luke Dawson, Jeremy Slater (screenplay); Mark Duplass, Olivia Wilde, Donald Glover, Evan Peters, Sarah Bolger.",96,Horror,3060684.0,25801570.0,2015
33,33,Maps to the Stars,Focus Features,"David Cronenberg (director); Bruce Wagner (screenplay); Julianne Moore, Mia Wasikowska, Olivia Williams, Evan Bird, Sarah Gadon, John Cusack, Robert Pattinson",326,Black Comedy,41606.0,350741.0,2015
34,34,Chappie,Columbia Pictures,"Neill Blomkamp (director/screenplay); Terri Tatchell (screenplay); Sharlto Copley, Dev Patel, Hugh Jackman, Ninja, Yolandi Visser, Jose Pablo Cantillo, Sigourney Weaver",83,Action,3744872.0,31569268.0,2015
